"","Duration (in seconds)","DistributionChannel","Consent","(att)g4q1_1_honest living","(att)g4q1_2_next door","(att)g4q1_3_rehabilitate","(att)g4q1_4_productivelives","(att)g4q1_5_immoral","(att)g4q1_6_circumstance","(att)g4q1_7_trust","(att)g4q1_8_guard","(att)g4q1_9_parole","(control)g4q2_felonsvote","g4q3_white_lowc_noitd","g4q4_nowhite_lowc_noitd","g4q5_white_medc_noitd","g4q6_nowhite_medc_noitd","g4q7_white_highc_noitd","g4q8_nowhite_highc_noitd","g4q9_white_lowc_itd","g4q10_nowhite_lowc_itd","g4q11_white_medc_itd","g4q12_nowhite_medc_itd","g4q13_white_highc_itd","g4q14_nowhite_highc_itd","age","gender","hhi","ethnicity","hispanic","education","political_party","zip","region","g4_DO","g4jail1_youincar","g4jail2_famfrdincar","g4_IV"
"23","294","anonymous","I agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"54","Male","$15,000 to $19,999","White","Yes, Mexican, Mexican American, Chicano","Completed some college, but no degree","Independent - neither","78577","South","g4q1|g4q2|g4q12","No","No",10
"24","954","anonymous","I agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"44","Male","$150,000 to $174,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Independent Democrat","92058","West","g4q1|g4q2|g4q6","Yes","Yes",4
"25","703","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"64","Female","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent Democrat","14224","Northeast","g4q1|g4q2|g4q12","No","No",10
"26","404","anonymous","I agree","Disagree","Strongly agree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"57","Male","$40,000 to $44,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","60007","Midwest","g4q1|g4q2|g4q13","No","No",11
"27","330","anonymous","I agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Republican","13440","Northeast","g4q1|g4q2|g4q3","No","No",1
"28","339","anonymous","I agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"25","Female","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","95112","West","g4q1|g4q2|g4q7","No","No",5
"29","343","anonymous","I agree","Strongly disagree","Strongly disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"19","Female","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Not very strong Democrat","10029","Northeast","g4q1|g4q2|g4q13","Yes","Yes",11
"30","302","anonymous","I agree","Agree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Strongly disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"66","Female","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Not very strong Democrat","60619","Midwest","g4q1|g4q2|g4q11","No","No",9
"31","366","anonymous","I agree","Disagree","Disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Strongly disagree","Agree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"29","Female","$55,000 to $59,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Independent - neither","71854","South","g4q1|g4q2|g4q9","No","No",7
"32","438","anonymous","I agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"54","Female","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent - neither","32570","South","g4q1|g4q2|g4q10","No","No",8
"33","489","anonymous","I agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,"65","Male","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","63033","Midwest","g4q1|g4q2|g4q8","Yes","Yes",6
"34","386","anonymous","I agree","Disagree","Agree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Disagree","Disagree","Strongly agree",NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,"25","Female","$30,000 to $34,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Republican","32327","South","g4q1|g4q2|g4q7","No","Yes",5
"35","327","anonymous","I agree","Agree","Strongly disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"32","Female","$75,000 to $79,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Strong Republican","30813","South","g4q1|g4q2|g4q8","No","No",6
"36","765","anonymous","I agree","Agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Strongly disagree","Disagree","Strongly disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"32","Male","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Other - leaning Democrat","78228","South","g4q1|g4q2|g4q12","No","No",10
"37","284","anonymous","I agree","Agree","Disagree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly agree","Disagree","Disagree","Disagree","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","Female","Less than $14,999","Some other race","Yes, Mexican, Mexican American, Chicano","High school graduate","Not very strong Democrat","33067","South","g4q1|g4q2|g4q3","No","No",1
"38","482","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","21","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","40504","South","g4q1|g4q2|g4q14","No","Yes",12
"39","515","anonymous","I agree","Disagree","Agree","Disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,"37","Female","$75,000 to $79,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Other - neither","13502","Northeast","g4q1|g4q2|g4q9","No","No",7
"40","621","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Strongly agree",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"22","Male","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Strong Republican","37404","South","g4q1|g4q2|g4q9","No","Yes",7
"41","1211","anonymous","I agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68","Female","$45,000 to $49,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Strong Republican","33966","South","g4q1|g4q2|g4q4","No","No",2
"42","635","anonymous","I agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"57","Male","$45,000 to $49,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Not very strong Democrat","71635","South","g4q1|g4q2|g4q4","No","Yes",2
"43","508","anonymous","I agree","Strongly agree","Disagree","Strongly disagree","Agree","Strongly disagree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"31","Female","$60,000 to $64,999","White","Yes, Mexican, Mexican American, Chicano","Bachelor's degree","Other - leaning Republican","77087","South","g4q1|g4q2|g4q9","No","Yes",7
"44","467","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"32","Female","$25,000 to $29,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Republican","92243","West","g4q1|g4q2|g4q12","No","Yes",10
"45","438","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Disagree","Disagree","Disagree","Agree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"24","Female","$35,000 to $39,999","White","Yes, another Hispanic, Latino, or Spanish origin *** Other Country","Other post high school vocational training","Other - leaning Democrat","99508","West","g4q1|g4q2|g4q7","No","Yes",5
"46","306","anonymous","I agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","36","Female","$25,000 to $29,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Republican","22454","South","g4q1|g4q2|g4q14","No","Yes",12
"47","396","anonymous","I agree","Strongly disagree","Strongly agree","Agree","Strongly agree","Strongly disagree","Agree","Agree","Strongly disagree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"26","Female","$65,000 to $69,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","91601","West","g4q1|g4q2|g4q12","No","No",10
"48","304","anonymous","I agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","Female","$100,000 to $124,999","White","No , not of Hispanic, Latino, or Spanish origin","Other post high school vocational training","Strong Republican","15136","Northeast","g4q1|g4q2|g4q5","No","No",3
"49","476","anonymous","I agree","Disagree","Disagree","Strongly disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","Female","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Democrat","25670","South","g4q1|g4q2|g4q5","No","No",3
"50","658","anonymous","I agree","Strongly agree","Strongly disagree","Disagree","Agree","Disagree","Agree","Disagree","Strongly agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"61","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","Some high school or less","Strong Republican","37752","South","g4q1|g4q2|g4q11","No","No",9
"51","570","anonymous","I agree","Agree","Agree","Disagree","Strongly agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"33","Female","$60,000 to $64,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Independent Republican","40741","South","g4q1|g4q2|g4q8","No","Yes",6
"52","915","anonymous","I agree","Strongly agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Agree","Agree","Disagree","Strongly agree","Disagree",NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"37","Male","Less than $14,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","32428","South","g4q1|g4q2|g4q10","No","Yes",8
"53","593","anonymous","I agree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,"35","Female","$25,000 to $29,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","12047","Northeast","g4q1|g4q2|g4q13","No","No",11
"54","877","anonymous","I agree","Disagree","Agree","Disagree","Strongly agree","Disagree","Agree","Strongly disagree","Strongly agree","Agree","Strongly disagree",NA,NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,"68","Female","Less than $14,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","91763","West","g4q1|g4q2|g4q7","No","No",5
"55","747","anonymous","I agree","Strongly agree","Disagree","Disagree","Agree","Disagree","Agree","Strongly disagree","Agree","Agree","Agree",NA,NA,NA,"No",NA,NA,NA,NA,NA,NA,NA,NA,"72","Male","$95,000 to $99,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Independent Republican","63129","Midwest","g4q1|g4q2|g4q6","No","No",4
"56","340","anonymous","I agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"31","Female","$40,000 to $44,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Not very strong Republican","29520","South","g4q1|g4q2|g4q12","No","No",10
"57","390","anonymous","I agree","Agree","Strongly disagree","Strongly disagree","Agree","Strongly disagree","Agree","Strongly disagree","Strongly disagree","Strongly disagree","Agree",NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,"50","Female","$150,000 to $174,999","White","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Strong Democrat","20850","South","g4q1|g4q2|g4q9","No","No",7
"58","771","anonymous","I agree","Strongly disagree","Agree","Strongly disagree","Strongly agree","Strongly disagree","Disagree","Disagree","Disagree","Strongly agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"69","Female","$15,000 to $19,999","White","No , not of Hispanic, Latino, or Spanish origin","Associate's degree","Strong Republican","30680","South","g4q1|g4q2|g4q11","No","Yes",9
"59","524","anonymous","I agree","Disagree","Strongly disagree","Strongly disagree","Agree","Disagree","Disagree","Strongly disagree","Agree","Disagree","Agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"30","Female","$50,000 to $54,999","White","Yes, Mexican, Mexican American, Chicano","Bachelor's degree","Strong Democrat","78660","South","g4q1|g4q2|g4q8","No","No",6
"60","199","anonymous","I agree","Disagree","Disagree","Agree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","Male","$25,000 to $29,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Democrat","28052","South","g4q1|g4q2|g4q4","No","Yes",2
"61","802","anonymous","I agree","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"59","Female","$15,000 to $19,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Strong Republican","78211","South","g4q1|g4q2|g4q13","No","No",11
"62","1187","anonymous","I agree","Agree","Strongly disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Disagree","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62","Male","$95,000 to $99,999","White","No , not of Hispanic, Latino, or Spanish origin","Master's or professional degree","Independent Republican","05641","Northeast","g4q1|g4q2|g4q3","No","Yes",1
"63","785","anonymous","I agree","Agree","Strongly disagree","Disagree","Agree","Disagree","Disagree","Disagree","Disagree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","39","Female","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","Completed some college, but no degree","Not very strong Republican","15136","Northeast","g4q1|g4q2|g4q14","No","No",12
"64","875","anonymous","I agree","Disagree","Agree","Strongly disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,"18","Female","$150,000 to $174,999","American Indian or Alaska Native","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent - neither","64804","Midwest","g4q1|g4q2|g4q11","No","Yes",9
"65","278","anonymous","I agree","Disagree","Strongly agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Strongly agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,"32","Male","$35,000 to $39,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Independent Democrat","46544","Midwest","g4q1|g4q2|g4q12","No","Yes",10
"66","618","anonymous","I agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Disagree","Agree","Disagree","Disagree",NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,"73","Female","$20,000 to $24,999","American Indian or Alaska Native","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","15656","Northeast","g4q1|g4q2|g4q11","No","No",9
"67","683","anonymous","I agree","Strongly disagree","Disagree","Strongly disagree","Strongly agree","Agree","Disagree","Disagree","Agree","Strongly agree","Strongly agree",NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,"55","Female","$50,000 to $54,999","Black, or African American","No , not of Hispanic, Latino, or Spanish origin","Bachelor's degree","Not very strong Democrat","33844","South","g4q1|g4q2|g4q8","No","No",6
"68","487","anonymous","I agree","Disagree","Disagree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree",NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46","Male","$25,000 to $29,999","White","Yes, Mexican, Mexican American, Chicano","Completed some college, but no degree","Not very strong Democrat","79553","South","g4q1|g4q2|g4q4","No","No",2
"69","799","anonymous","I agree","Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Agree","Agree",NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","Female","$70,000 to $74,999","White","No , not of Hispanic, Latino, or Spanish origin","High school graduate","Strong Republican","15902","Northeast","g4q1|g4q2|g4q5","No","Yes",3
